Date/Time	Height [m]	TTT [°C]	RH [%]	ff [m/s]	SWD [W/m**2]	Precip [mm/h]	SWU [W/m**2]	NET [W/m**2]	LWD [W/m**2]	LWU [W/m**2]	PPPP [hPa]	Alb frac	t [°C]	Clouds [octa]
2010-11-16T17:00	2	-0.14	93.70	17.43	399.8	0.0	153.9	246.0	291	304.0	952.4	0.79	-1.04	7
2010-11-16T18:00	2	-0.16	96.32	19.43	200.4	0.0	162.0	47.8	285	304.3	954.7	0.79	-1.04	7
2010-11-16T19:00	2	-0.18	96.42	19.23	112.9	0.0	91.1	32.6	283	302.9	953.7	0.78	-1.04	7
2010-11-16T20:00	2	-0.20	96.10	20.70	55.7	0.0	46.5	16.7	285	301.8	952.3	0.78	-1.04	7
2010-11-16T21:00	2	-0.53	96.65	19.43	21.0	0.0	23.3	-1.7	289	301.0	952.2	0.78	-1.04	7
2010-11-16T22:00	2	-0.66	97.08	17.54	0.0	0.0	7.0	-6.0	289	315.5	953.5	0.78	-1.04	7
2010-11-16T23:00	2	-0.93	96.93	16.52	0.0	0.0	0.0	5.6	284	314.1	954.8	0.78	-1.04	7
2010-11-17T00:00	2	-0.88	96.95	16.25	0.0	0.0	0.0	5.4	284	314.0	956.2	0.78	-1.04	8
2010-11-17T01:00	2	-0.77	96.83	16.07	0.0	0.0	0.2	6.1	284	314.1	957.2	0.78	-1.04	8
2010-11-17T02:00	2	-0.86	95.95	15.58	0.0	0.0	0.2	8.4	280	312.5	958.3	0.78	-1.04	8
2010-11-17T03:00	2	-0.92	94.97	14.38	0.0	0.0	0.2	6.2	282	312.4	959.2	0.78	-1.04	7
2010-11-17T04:00	2	-1.00	95.58	14.86	37.0	0.0	0.5	42.1	283	312.8	960.0	0.78	-1.04	7
2010-11-17T05:00	2	-1.01	92.72	16.28	34.4	0.0	22.3	37.0	262	310.3	960.0	0.78	-1.04	7
2010-11-17T06:00	2	-1.06	90.75	15.27	187.8	0.0	122.3	94.8	258	311.1	960.8	0.78	-1.04	6
2010-11-17T07:00	2	-0.57	89.68	15.36	270.4	0.0	188.9	95.7	278	301.2	961.0	0.78	-1.04	6
2010-11-17T08:00	2	-0.55	87.40	16.26	270.3	0.0	197.6	95.1	268	315.0	961.0	0.78	-1.04	6
2010-11-17T09:00	2	-0.43	83.67	17.28	538.3	0.0	366.1	234.1	230	300.8	960.0	0.78	-1.04	6
2010-11-17T10:00	2	-0.32	83.53	16.20	633.5	0.0	437.6	254.1	236	302.9	960.3	0.78	-1.04	6
2010-11-17T11:00	2	-0.16	85.38	12.68	687.8	0.0	480.6	263.2	240	305.1	961.3	0.77	-1.04	6
2010-11-17T12:00	2	-0.03	85.48	9.67	797.6	0.0	556.1	291.1	248	307.2	962.0	0.77	-1.04	6
2010-11-17T13:00	2	0.28	85.38	7.29	863.2	0.0	610.4	288.4	264	309.3	962.0	0.77	-1.04	6
2010-11-17T14:00	2	0.60	87.83	6.18	709.4	0.0	522.0	201.6	285	310.4	962.0	0.77	-1.04	6
2010-11-17T15:00	2	0.99	88.53	5.31	536.2	0.0	399.8	148.8	287	310.2	961.2	0.77	-1.04	6
2010-11-17T16:00	2	1.77	79.51	3.10	611.9	0.0	456.2	171.2	285	313.0	960.7	0.77	-1.04	6
2010-11-17T17:00	2	1.76	80.60	2.18	415.1	0.0	313.7	108.5	295	315.4	959.7	0.77	-1.04	6
2010-11-17T18:00	2	0.77	87.65	5.26	294.4	0.0	176.7	118.5	297	308.5	958.3	0.77	-1.04	7
2010-11-17T19:00	2	0.64	90.50	3.68	221.6	0.0	169.6	24.1	293	308.2	957.3	0.77	-1.04	7
2010-11-17T20:00	2	0.55	93.43	3.83	102.4	0.0	78.2	16.0	293	307.4	956.7	0.77	-1.04	7
2010-11-17T21:00	2	0.60	96.33	3.11	22.7	0.0	25.0	-5.0	295	306.1	955.8	0.77	-1.04	8
2010-11-17T22:00	2	3.32	89.77	3.01	0.0	0.0	3.0	-6.1	307	309.6	955.0	0.77	-1.04	8
2010-11-17T23:00	2	2.36	89.20	3.12	0.0	0.0	0.0	0.1	302	308.3	954.0	0.77	-1.04	8
2010-11-18T00:00	2	1.68	93.77	0.82	0.0	0.0	0.0	-9.6	306	308.0	953.8	0.77	-1.04	8
2010-11-18T01:00	2	1.37	95.78	1.43	0.0	0.0	0.0	-7.3	304	307.7	953.0	0.77	-1.04	8
2010-11-18T02:00	2	1.57	96.60	1.52	0.0	0.0	0.0	2.9	298	307.1	952.8	0.77	-1.05	8
2010-11-18T03:00	2	3.14	92.37	2.94	0.0	0.0	0.0	-7.1	305	309.2	952.7	0.77	-1.05	8
2010-11-18T04:00	2	3.45	89.22	2.59	0.0	0.0	0.7	50.5	294	309.7	952.0	0.77	-1.05	8
2010-11-18T05:00	2	2.14	94.43	1.98	33.5	0.0	20.7	28.7	281	307.9	951.5	0.77	-1.05	8
2010-11-18T06:00	2	2.29	93.93	2.76	60.9	0.0	44.2	33.6	281	308.4	950.7	0.77	-1.05	7
2010-11-18T07:00	2	4.08	86.35	2.02	69.7	0.0	54.8	299.5	297	311.3	950.0	0.77	-1.05	7
2010-11-18T08:00	2	2.48	85.65	7.49	446.3	0.0	54.1	390.0	301	308.9	949.3	0.77	-1.05	7
2010-11-18T09:00	2	2.91	81.44	8.16	538.0	0.0	169.6	370.4	303	309.5	948.5	0.77	-1.05	6
2010-11-18T10:00	2	1.63	83.08	10.90	400.0	0.0	296.5	115.6	287	309.4	948.0	0.77	-1.05	6
2010-11-18T11:00	2	0.93	89.30	11.53	327.0	0.0	251.5	82.2	291	307.9	948.2	0.77	-1.05	6
2010-11-18T12:00	2	1.52	92.05	11.68	578.1	0.0	418.3	175.7	283	309.6	949.0	0.77	-1.05	6
2010-11-18T13:00	2	1.33	92.63	12.65	881.9	0.0	616.6	297.8	268	311.2	949.0	0.77	-1.05	6
2010-11-18T14:00	2	2.02	84.00	15.66	881.3	0.0	620.3	290.0	272	311.3	948.7	0.77	-1.05	6
2010-11-18T15:00	2	2.24	80.80	18.12	799.0	0.0	573.8	273.4	253	310.8	948.0	0.77	-1.05	6
2010-11-18T16:00	2	2.02	82.17	19.23	702.8	0.0	514.8	228.9	260	310.4	947.2	0.77	-1.05	6
2010-11-18T17:00	2	0.75	91.82	20.08	290.3	0.0	227.1	73.4	288	307.1	946.8	0.77	-1.05	6
2010-11-18T18:00	2	0.45	95.08	20.94	135.0	0.0	112.6	29.0	290	305.9	946.7	0.77	-1.05	6
2010-11-18T19:00	2	0.17	96.80	18.60	111.9	0.0	94.4	22.5	291	304.9	947.7	0.77	-1.05	6
2010-11-18T20:00	2	-0.25	97.23	16.68	98.5	0.0	81.6	23.0	289	304.1	949.7	0.77	-1.05	6
2010-11-18T21:00	2	-0.59	97.30	16.67	60.4	0.0	47.7	22.9	283	302.4	950.7	0.77	-1.05	5
2010-11-18T22:00	2	-1.13	97.28	16.49	9.6	0.0	9.3	49.2	240	311.9	951.7	0.77	-1.05	5
2010-11-18T23:00	2	-1.37	96.95	16.12	0.0	0.0	1.1	61.6	223	308.2	952.8	0.77	-1.05	5
2010-11-19T00:00	2	-1.28	95.88	17.32	0.0	0.0	0.4	54.8	230	307.7	953.8	0.77	-1.05	6
2010-11-19T01:00	2	-1.32	93.75	17.23	0.0	0.0	0.3	48.9	236	307.9	955.0	0.77	-1.05	6
2010-11-19T02:00	2	-1.65	90.55	15.98	0.0	0.0	0.5	53.5	229	305.4	956.2	0.77	-1.05	6
2010-11-19T03:00	2	-1.80	88.53	16.38	0.0	0.0	0.5	48.6	233	305.1	957.0	0.77	-1.05	6
2010-11-19T04:00	2	-1.79	85.22	17.38	43.2	0.0	2.4	103.7	218	303.2	958.0	0.78	-1.05	6
2010-11-19T05:00	2	-1.67	86.72	16.18	44.2	0.0	29.7	58.2	239	305.9	959.0	0.78	-1.05	6
2010-11-19T06:00	2	-1.27	84.55	16.97	108.2	0.0	78.0	64.0	252	309.1	960.0	0.78	-1.05	6
2010-11-19T07:00	2	-1.29	83.90	17.94	146.5	0.0	110.4	68.7	254	309.8	960.7	0.78	-1.05	6
2010-11-19T08:00	2	-1.77	90.33	13.08	191.7	0.0	154.8	46.1	279	311.9	963.0	0.78	-1.05	6
2010-11-19T09:00	2	-1.29	94.90	13.70	371.2	0.0	312.7	63.7	287	301.1	963.2	0.78	-1.05	5
2010-11-19T10:00	2	-0.33	95.75	16.77	538.7	0.0	443.2	112.0	280	306.1	963.0	0.78	-1.05	5
2010-11-19T11:00	2	0.49	94.57	17.54	757.5	0.0	586.7	211.5	259	309.1	964.0	0.79	-1.05	5
2010-11-19T12:00	2	0.73	89.80	17.84	687.5	0.0	527.9	187.8	271	308.6	964.7	0.79	-1.05	6
2010-11-19T13:00	2	1.10	87.60	16.90	830.7	0.0	622.0	254.9	254	309.2	965.2	0.79	-1.05	6
2010-11-19T14:00	2	1.10	87.75	16.06	739.5	0.0	546.9	215.3	276	309.1	966.3	0.79	-1.05	6
2010-11-19T15:00	2	1.43	86.40	15.90	802.3	0.0	581.0	270.4	251	309.5	966.5	0.79	-1.05	6
2010-11-19T16:00	2	1.39	85.80	14.49	722.0	0.0	516.5	259.2	246	308.9	967.0	0.79	-1.05	6
2010-11-19T17:00	2	1.35	87.57	13.39	629.9	0.0	461.7	226.2	241	308.7	967.0	0.80	-1.05	6
2010-11-19T18:00	2	1.39	88.33	13.93	538.7	0.0	398.1	199.3	241	308.5	967.0	0.80	-1.05	6
2010-11-19T19:00	2	1.67	85.52	14.24	367.8	0.0	274.4	136.1	255	307.8	966.7	0.80	-1.05	6
2010-11-19T20:00	2	2.04	84.15	15.51	188.1	0.0	139.9	86.4	259	307.2	966.0	0.80	-1.05	6
2010-11-19T21:00	2	2.74	77.91	14.09	42.9	0.0	33.5	23.4	283	307.7	966.8	0.81	-1.05	7
2010-11-19T22:00	2	3.82	59.69	14.04	7.8	0.0	6.9	34.8	264	308.1	966.2	0.81	-1.05	7
2010-11-19T23:00	2	3.92	51.99	14.06	0.0	0.0	0.0	37.4	260	307.4	966.0	0.81	-1.05	7
2010-11-20T00:00	2	3.15	65.12	13.20	0.0	0.0	0.0	29.8	267	307.0	965.5	0.82	-1.05	8
2010-11-20T01:00	2	2.97	69.19	13.12	0.0	0.0	0.0	25.4	272	307.2	964.3	0.82	-1.05	8
2010-11-20T02:00	2	3.03	69.07	11.78	0.0	0.0	0.0	22.1	275	307.5	962.8	0.82	-1.05	8
2010-11-20T03:00	2	1.28	83.75	14.40	0.0	0.0	1.1	6.5	288	305.8	961.0	0.82	-1.05	8
2010-11-20T04:00	2	0.68	92.25	14.65	40.7	0.0	3.1	40.6	298	305.0	958.8	0.82	-1.05	8
2010-11-20T05:00	2	0.52	94.45	12.35	128.6	0.0	8.8	123.2	298	305.2	957.3	0.83	-1.05	8
2010-11-20T06:00	2	0.14	96.42	11.91	225.7	0.0	30.1	200.5	296	304.4	955.3	0.83	-1.05	8
2010-11-20T07:00	2	-0.02	97.30	13.34	89.3	0.0	76.2	19.8	289	304.6	953.2	0.83	-1.05	8
2010-11-20T08:00	2	-0.14	97.58	10.48	228.5	0.0	195.2	40.3	289	305.5	951.5	0.83	-1.05	8
2010-11-20T09:00	2	0.02	97.63	10.47	349.2	0.0	281.6	79.1	285	306.9	949.8	0.83	-1.05	8
2010-11-20T10:00	2	0.11	97.70	9.04	416.0	0.0	333.8	89.8	290	308.0	948.5	0.84	-1.05	8
2010-11-20T11:00	2	0.12	97.80	8.73	614.0	0.0	286.2	328.1	297	307.4	946.7	0.84	-1.05	8
2010-11-20T12:00	2	0.05	98.00	9.02	634.5	0.0	250.2	385.5	297	306.8	945.2	0.84	-1.05	8
2010-11-20T13:00	2	-0.18	98.10	10.26	629.3	0.0	153.1	478.9	296	305.4	943.7	0.84	-1.05	8
2010-11-20T14:00	2	-0.40	98.10	8.08	598.9	0.0	212.4	388.8	295	305.6	942.8	0.84	-1.05	8
2010-11-20T15:00	2	-0.46	98.10	4.35	545.4	0.0	242.0	305.4	295	305.6	942.0	0.85	-1.05	8
2010-11-20T16:00	2	-0.29	98.10	3.45	472.5	0.0	276.8	195.9	296	307.4	942.0	0.85	-1.05	8
2010-11-20T17:00	2	-0.14	98.10	3.12	385.6	0.0	280.7	103.7	297	308.6	941.2	0.85	-1.05	8
2010-11-20T18:00	2	-0.21	98.10	4.17	289.9	0.0	166.0	125.4	296	306.4	942.0	0.85	-1.05	8
2010-11-20T19:00	2	-0.68	98.08	6.58	191.9	0.0	120.0	73.9	294	303.7	942.3	0.85	-1.05	8
2010-11-20T20:00	2	-0.93	98.03	6.87	98.3	0.0	35.8	66.7	294	300.7	943.3	0.85	-1.05	8
2010-11-20T21:00	2	-0.92	98.00	4.81	26.7	0.0	16.6	15.9	294	315.3	944.7	0.86	-1.05	8
2010-11-20T22:00	2	-1.08	97.93	4.03	3.7	0.0	4.6	4.4	285	315.1	946.3	0.86	-1.05	8
2010-11-20T23:00	2	-1.22	97.80	4.40	0.0	0.0	1.4	7.6	281	314.1	947.5	0.86	-1.05	8
2010-11-21T00:00	2	-1.13	97.80	2.56	0.0	0.0	0.0	4.6	294	314.8	949.3	0.86	-1.05	8
2010-11-21T01:00	2	-0.99	97.83	2.63	0.0	0.0	0.0	1.3	294	315.0	950.5	0.86	-1.05	8
2010-11-21T02:00	2	-0.68	98.02	5.38	0.0	0.0	0.0	4.4	296	315.6	951.5	0.86	-1.05	8
2010-11-21T03:00	2	-0.61	98.10	6.96	0.8	0.0	0.6	4.2	296	300.7	952.7	0.86	-1.05	7
2010-11-21T04:00	2	-0.66	98.12	6.59	40.8	0.0	1.1	44.2	296	315.6	953.7	0.86	-1.05	7
2010-11-21T05:00	2	-0.73	98.15	8.26	125.4	0.0	13.6	116.7	296	315.2	954.3	0.87	-1.05	7
2010-11-21T06:00	2	-1.24	98.02	9.97	218.6	0.0	36.2	187.4	294	313.2	955.5	0.87	-1.05	6
2010-11-21T07:00	2	-1.82	97.78	11.58	314.2	0.0	81.0	238.2	291	311.2	956.5	0.87	-1.05	6
2010-11-21T08:00	2	-2.12	97.52	11.32	405.5	0.0	93.7	317.6	290	310.3	957.0	0.87	-1.05	6
2010-11-21T09:00	2	-2.56	97.10	9.86	234.7	0.0	208.2	37.7	275	310.3	958.0	0.87	-1.05	6
2010-11-21T10:00	2	-2.49	96.58	10.81	619.7	0.0	545.1	133.4	233	315.3	958.0	0.87	-1.05	6
2010-11-21T11:00	2	-2.50	96.08	9.69	624.0	0.0	579.2	101.8	236	301.7	958.0	0.87	-1.05	6
2010-11-21T12:00	2	-1.86	95.83	6.89	751.6	0.0	650.1	147.2	253	307.8	958.5	0.87	-1.05	6
2010-11-21T13:00	2	-0.49	96.20	2.84	917.3	0.0	742.4	183.9	294	316.3	959.0	0.88	-1.05	6
2010-11-21T14:00	2	0.27	96.58	4.93	692.3	0.0	559.0	27.1	298	315.1	958.3	0.88	-1.05	6
