Event	Date/Time	Latitude	Longitude	Elevation [m]	Diff
PG01	2011-03-02	-62.201488	-58.583236	435.7	3.14
PG01	2011-03-07	-62.201488	-58.583236	435.7	-3.03
PG01	2011-03-09	-62.201488	-58.583236	435.7	0.10
PG01	2013-02-11	-62.201488	-58.583236	435.7	0.05
PG01	2013-02-19	-62.201488	-58.583236	435.7	-0.08
PG01	2013-02-27	-62.201488	-58.583236	435.7	-0.01
PG02	2010-12-05	-62.208882	-58.583777	385.2	0.48
PG02	2011-01-09	-62.208882	-58.583777	385.2	-0.23
PG02	2011-01-17	-62.208882	-58.583777	385.2	0.95
PG02	2011-01-25	-62.208882	-58.583777	385.2	0.53
PG02	2011-03-02	-62.208882	-58.583777	385.2	1.15
PG02	2011-03-07	-62.208882	-58.583777	385.2	-3.00
PG02	2011-03-09	-62.208882	-58.583777	385.2	0.12
PG02	2013-02-11	-62.208882	-58.583777	385.2	0.00
PG02	2013-02-19	-62.208882	-58.583777	385.2	-0.06
PG02	2013-02-27	-62.208882	-58.583777	385.2	0.02
PG02	2013-03-06	-62.208882	-58.583777	385.2	-0.06
PG03	2010-12-05	-62.217533	-58.587279	346.4	0.44
PG03	2011-01-09	-62.217533	-58.587279	346.4	-0.35
PG03	2011-01-25	-62.217533	-58.587279	346.4	0.22
PG03	2011-03-07	-62.217533	-58.587279	346.4	-1.11
PG03	2011-03-09	-62.217533	-58.587279	346.4	-0.03
PG03	2012-01-27	-62.217533	-58.587279	346.4	0.68
PG03	2013-02-11	-62.217533	-58.587279	346.4	-0.05
PG03	2013-02-19	-62.217533	-58.587279	346.4	0.01
PG03	2013-02-27	-62.217533	-58.587279	346.4	-0.05
PG03	2013-03-06	-62.217533	-58.587279	346.4	-0.12
PG04	2010-11-22	-62.222118	-58.592014	294.3	1.75
PG04	2010-12-05	-62.222118	-58.592014	294.3	0.43
PG04	2010-12-23	-62.222118	-58.592014	294.3	0.01
PG04	2011-01-09	-62.222118	-58.592014	294.3	-0.43
PG04	2011-01-25	-62.222118	-58.592014	294.3	0.22
PG04	2011-03-04	-62.222118	-58.592014	294.3	-1.21
PG04	2012-01-24	-62.222118	-58.592014	294.3	0.89
PG04	2012-01-27	-62.222118	-58.592014	294.3	-0.04
PG04	2013-02-11	-62.222118	-58.592014	294.3	-0.21
PG04	2013-02-19	-62.222118	-58.592014	294.3	-0.08
PG04	2013-02-27	-62.222118	-58.592014	294.3	0.03
PG04	2013-03-06	-62.222118	-58.592014	294.3	-0.23
PG04	2014-01-21	-62.222118	-58.592014	294.3	1.06
PG04	2014-01-31	-62.222118	-58.592014	294.3	0.10
PG04	2014-02-10	-62.222118	-58.592014	294.3	0.34
PG04	2014-02-18	-62.222118	-58.592014	294.3	-0.27
PG04	2014-02-28	-62.222118	-58.592014	294.3	-0.05
PG04	2014-03-10	-62.222118	-58.592014	294.3	-0.10
PG05	2010-11-22	-62.227069	-58.598800	247.9	1.78
PG05	2010-12-05	-62.227069	-58.598800	247.9	0.32
PG05	2010-12-23	-62.227069	-58.598800	247.9	-0.17
PG05	2011-01-09	-62.227069	-58.598800	247.9	-0.44
PG05	2011-03-04	-62.227069	-58.598800	247.9	-1.10
PG05	2011-10-15	-62.227069	-58.598800	247.9	1.20
PG05	2012-01-16	-62.227069	-58.598800	247.9	0.06
PG05	2012-07-23	-62.227069	-58.598800	247.9	-0.01
PG05	2012-07-27	-62.227069	-58.598800	247.9	0.04
PG05	2012-08-15	-62.227069	-58.598800	247.9	0.10
PG05	2012-09-12	-62.227069	-58.598800	247.9	0.10
PG05	2012-09-27	-62.227069	-58.598800	247.9	0.00
PG05	2012-10-09	-62.227069	-58.598800	247.9	0.28
PG05	2012-10-18	-62.227069	-58.598800	247.9	0.02
PG05	2012-10-27	-62.227069	-58.598800	247.9	0.13
PG05	2012-11-03	-62.227069	-58.598800	247.9	0.04
PG05	2012-11-10	-62.227069	-58.598800	247.9	-0.02
PG05	2012-11-24	-62.227069	-58.598800	247.9	-0.11
PG05	2012-12-05	-62.227069	-58.598800	247.9	0.03
PG05	2012-12-14	-62.227069	-58.598800	247.9	-0.05
PG05	2012-12-22	-62.227069	-58.598800	247.9	0.01
PG05	2013-01-05	-62.227069	-58.598800	247.9	0.07
PG05	2013-01-15	-62.227069	-58.598800	247.9	0.00
PG05	2013-02-01	-62.227069	-58.598800	247.9	-0.24
PG05	2013-02-11	-62.227069	-58.598800	247.9	-0.17
PG05	2013-02-19	-62.227069	-58.598800	247.9	-0.10
PG05	2013-02-27	-62.227069	-58.598800	247.9	-0.06
PG05	2013-03-06	-62.227069	-58.598800	247.9	-0.16
PG05	2013-04-01	-62.227069	-58.598800	247.9	-0.33
PG05	2013-04-11	-62.227069	-58.598800	247.9	-0.09
PG05	2013-05-04	-62.227069	-58.598800	247.9	0.22
PG05	2013-05-24	-62.227069	-58.598800	247.9	-0.01
PG05	2013-06-25	-62.227069	-58.598800	247.9	0.42
PG05	2013-07-24	-62.227069	-58.598800	247.9	0.14
PG05	2013-08-01	-62.227069	-58.598800	247.9	0.07
PG05	2013-08-24	-62.227069	-58.598800	247.9	0.05
PG05	2013-09-12	-62.227069	-58.598800	247.9	0.06
PG05	2013-09-27	-62.227069	-58.598800	247.9	0.04
PG05	2013-10-10	-62.227069	-58.598800	247.9	0.05
PG05	2013-10-20	-62.227069	-58.598800	247.9	-0.06
PG05	2013-10-27	-62.227069	-58.598800	247.9	0.14
PG05	2013-11-06	-62.227069	-58.598800	247.9	-0.13
PG05	2013-11-26	-62.227069	-58.598800	247.9	-0.08
PG05	2013-12-16	-62.227069	-58.598800	247.9	0.11
PG05	2014-01-03	-62.227069	-58.598800	247.9	0.00
PG05	2014-01-21	-62.227069	-58.598800	247.9	-0.27
PG05	2014-01-31	-62.227069	-58.598800	247.9	0.00
PG05	2014-02-10	-62.227069	-58.598800	247.9	0.44
PG05	2014-02-18	-62.227069	-58.598800	247.9	-0.32
PG05	2014-02-28	-62.227069	-58.598800	247.9	-0.05
PG05	2014-03-10	-62.227069	-58.598800	247.9	-0.15
