Stake	Date	Date1	Latitude	Longitude	Elevation	Days	SMB
R1	2007-11-08	2007-11-08	-62.1776204178	-58.902405662700005	82.0	0	0.688
R1	2007-12-09	2007-11-08	-62.1776204178	-58.902405662700005	82.0	31	0.7584000000000001
R1	2007-12-18	2007-12-09	-62.1776204178	-58.902405662700005	82.0	9	0.7373000000000001
R1	2007-12-26	2007-12-18	-62.1776204178	-58.902405662700005	82.0	8	0.65472
R1	2008-01-05	2007-12-26	-62.1776204178	-58.902405662700005	82.0	10	0.44
R1	2008-01-12	2008-01-05	-62.1776204178	-58.902405662700005	82.0	7	0.48209
R1	2008-01-19	2008-01-12	-62.1776204178	-58.902405662700005	82.0	7	0.38688
R1	2008-01-26	2008-01-19	-62.1776204178	-58.902405662700005	82.0	7	0.1834
R1	2008-02-02	2008-01-26	-62.1776204178	-58.902405662700005	82.0	7	0.09842000000000001
R1	2008-02-09	2008-02-02	-62.1776204178	-58.902405662700005	82.0	7	0.10692
R1	2008-02-13	2008-02-09	-62.1776204178	-58.902405662700005	82.0	4	0.0
R1	2008-02-16	2008-02-13	-62.1776204178	-58.902405662700005	82.0	3	-0.064
R1	2008-02-24	2008-02-16	-62.1776204178	-58.902405662700005	82.0	8	-0.314
R1	2008-03-02	2008-02-24	-62.1776204178	-58.902405662700005	82.0	7	-0.44
R1	2008-03-07	2008-03-02	-62.1776204178	-58.902405662700005	82.0	5	-0.593
R1	2008-03-09	2008-03-07	-62.1776204178	-58.902405662700005	82.0	2	-0.629
R1	2008-03-17	2008-03-09	-62.1776204178	-58.902405662700005	82.0	8	-0.629
R1	2008-11-03	2008-03-17	-62.1776204178	-58.902405662700005	82.0	231	0.42312
R1	2008-11-13	2008-11-03	-62.1776204178	-58.902405662700005	82.0	10	0.4214
R1	2008-11-21	2008-11-13	-62.1776204178	-58.902405662700005	82.0	8	0.37520000000000003
R1	2008-11-28	2008-11-21	-62.1776204178	-58.902405662700005	82.0	7	0.27940000000000004
R1	2008-12-05	2008-11-28	-62.1776204178	-58.902405662700005	82.0	7	0.17501
R1	2008-12-09	2008-12-05	-62.1776204178	-58.902405662700005	82.0	4	0.13959
R1	2008-12-13	2008-12-09	-62.1776204178	-58.902405662700005	82.0	4	0.141
R1	2008-12-19	2008-12-13	-62.1776204178	-58.902405662700005	82.0	6	0.010280000000000001
R1	2009-01-09	2008-12-19	-62.1776204178	-58.902405662700005	82.0	21	-0.259
R1	2009-01-17	2009-01-09	-62.1776204178	-58.902405662700005	82.0	8	-0.61
R1	2009-01-24	2009-01-17	-62.1776204178	-58.902405662700005	82.0	7	-0.691
R1	2009-01-30	2009-01-24	-62.1776204178	-58.902405662700005	82.0	6	-0.667
R1	2009-01-31	2009-01-30	-62.1776204178	-58.902405662700005	82.0	1	-0.7090000000000001
R1	2009-02-06	2009-01-31	-62.1776204178	-58.902405662700005	82.0	6	-0.745
R1	2009-02-13	2009-02-06	-62.1776204178	-58.902405662700005	82.0	7	-0.7809999999999999
R1	2009-02-21	2009-02-13	-62.1776204178	-58.902405662700005	82.0	8	-0.88
R1	2009-02-28	2009-02-21	-62.1776204178	-58.902405662700005	82.0	7	-1.042
R1	2009-03-01	2009-02-28	-62.1776204178	-58.902405662700005	82.0	1	-1.042
R1	2009-03-27	2009-03-01	-62.1776204178	-58.902405662700005	82.0	26	-1.42
R1	2009-11-12	2009-03-27	-62.1776204178	-58.902405662700005	82.0	230	0.7436
R1	2009-11-18	2009-11-12	-62.1776204178	-58.902405662700005	82.0	6	0.774
R1	2009-11-23	2009-11-18	-62.1776204178	-58.902405662700005	82.0	5	0.7839
R1	2009-12-04	2009-11-23	-62.1776204178	-58.902405662700005	82.0	11	0.7987000000000001
R1	2009-12-07	2009-12-04	-62.1776204178	-58.902405662700005	82.0	3	0.8676999999999999
R1	2009-12-13	2009-12-07	-62.1776204178	-58.902405662700005	82.0	6	0.8925
R1	2009-12-21	2009-12-13	-62.1776204178	-58.902405662700005	82.0	8	0.726
R1	2009-12-28	2009-12-21	-62.1776204178	-58.902405662700005	82.0	7	0.6171
R1	2010-01-11	2009-12-28	-62.1776204178	-58.902405662700005	82.0	14	0.6113000000000001
R1	2010-01-18	2010-01-11	-62.1776204178	-58.902405662700005	82.0	7	0.525
R1	2010-01-25	2010-01-18	-62.1776204178	-58.902405662700005	82.0	7	0.39189999999999997
R1	2010-02-01	2010-01-25	-62.1776204178	-58.902405662700005	82.0	7	0.4058
R1	2010-02-15	2010-02-01	-62.1776204178	-58.902405662700005	82.0	14	0.37670000000000003
R1	2010-02-22	2010-02-15	-62.1776204178	-58.902405662700005	82.0	7	0.3245
R1	2010-03-01	2010-02-22	-62.1776204178	-58.902405662700005	82.0	7	0.3156
R1	2010-03-08	2010-03-01	-62.1776204178	-58.902405662700005	82.0	7	0.19039999999999999
R1	2010-03-15	2010-03-08	-62.1776204178	-58.902405662700005	82.0	7	0.10880000000000001
R1	2010-03-23	2010-03-15	-62.1776204178	-58.902405662700005	82.0	8	0.1978
R1	2010-03-29	2010-03-23	-62.1776204178	-58.902405662700005	82.0	6	0.15960000000000002
R1	2010-04-05	2010-03-29	-62.1776204178	-58.902405662700005	82.0	7	0.0684
R1	2010-04-12	2010-04-05	-62.1776204178	-58.902405662700005	82.0	7	0.0
R1	2010-04-14	2010-04-12	-62.1776204178	-58.902405662700005	82.0	2	0.0
R1	2010-04-20	2010-04-14	-62.1776204178	-58.902405662700005	82.0	6	0.016399999999999998
R1	2010-04-27	2010-04-20	-62.1776204178	-58.902405662700005	82.0	7	0.1
R1	2010-05-13	2010-04-27	-62.1776204178	-58.902405662700005	82.0	16	0.08
R1	2010-05-20	2010-05-13	-62.1776204178	-58.902405662700005	82.0	7	0.09
R1	2010-11-09	2010-05-20	-62.1776204178	-58.902405662700005	82.0	173	0.5118
R1	2010-11-29	2010-11-09	-62.1776204178	-58.902405662700005	82.0	20	0.4704
R1	2010-12-11	2010-11-29	-62.1776204178	-58.902405662700005	82.0	12	0.5161
R1	2010-12-21	2010-12-11	-62.1776204178	-58.902405662700005	82.0	10	0.5015
R1	2010-12-30	2010-12-21	-62.1776204178	-58.902405662700005	82.0	9	0.39130000000000004
R1	2011-01-07	2010-12-30	-62.1776204178	-58.902405662700005	82.0	8	0.2192
R1	2011-01-15	2011-01-07	-62.1776204178	-58.902405662700005	82.0	8	0.16079999999999997
R1	2011-01-23	2011-01-15	-62.1776204178	-58.902405662700005	82.0	8	0.1641
R1	2011-01-31	2011-01-23	-62.1776204178	-58.902405662700005	82.0	8	0.0508
R1	2011-02-07	2011-01-31	-62.1776204178	-58.902405662700005	82.0	7	0.06269999999999999
