Stake	Date	Date1	Latitude	Longitude	Elevation	Days	SMB	SMB1	SMB_diff
R1	2007-11-08	2007-11-08	-62.1776204178	-58.902405662700005	82.0	0	0.688	0.0	0.688
R1	2007-12-09	2007-11-08	-62.1776204178	-58.902405662700005	82.0	31	0.7584000000000001	68.8	0.07040000000000006
R1	2007-12-18	2007-12-09	-62.1776204178	-58.902405662700005	82.0	9	0.7373000000000001	75.84	-0.021099999999999994
R1	2007-12-26	2007-12-18	-62.1776204178	-58.902405662700005	82.0	8	0.65472	73.73	-0.0825800000000001
R1	2008-01-05	2007-12-26	-62.1776204178	-58.902405662700005	82.0	10	0.44	65.472	-0.21471999999999994
R1	2008-01-12	2008-01-05	-62.1776204178	-58.902405662700005	82.0	7	0.48209	44.0	0.04209000000000003
R1	2008-01-19	2008-01-12	-62.1776204178	-58.902405662700005	82.0	7	0.38688	48.209	-0.09521
R1	2008-01-26	2008-01-19	-62.1776204178	-58.902405662700005	82.0	7	0.1834	38.688	-0.20348000000000002
R1	2008-02-02	2008-01-26	-62.1776204178	-58.902405662700005	82.0	7	0.09842000000000001	18.34	-0.08498
R1	2008-02-09	2008-02-02	-62.1776204178	-58.902405662700005	82.0	7	0.10692	9.842	0.008499999999999997
R1	2008-02-13	2008-02-09	-62.1776204178	-58.902405662700005	82.0	4	0.0	10.692	-0.10692
R1	2008-02-16	2008-02-13	-62.1776204178	-58.902405662700005	82.0	3	-0.064	0.0	-0.064
R1	2008-02-24	2008-02-16	-62.1776204178	-58.902405662700005	82.0	8	-0.314	-6.4	-0.25
R1	2008-03-02	2008-02-24	-62.1776204178	-58.902405662700005	82.0	7	-0.44	-31.4	-0.126
R1	2008-03-07	2008-03-02	-62.1776204178	-58.902405662700005	82.0	5	-0.593	-44.0	-0.15299999999999997
R1	2008-03-09	2008-03-07	-62.1776204178	-58.902405662700005	82.0	2	-0.629	-59.3	-0.03600000000000001
R1	2008-03-17	2008-03-09	-62.1776204178	-58.902405662700005	82.0	8	-0.629	-62.9	-0.0
R1	2008-11-03	2008-03-17	-62.1776204178	-58.902405662700005	82.0	231	0.42312	-62.9	1.05212
R1	2008-11-13	2008-11-03	-62.1776204178	-58.902405662700005	82.0	10	0.4214	42.312	-0.0017199999999999705
R1	2008-11-21	2008-11-13	-62.1776204178	-58.902405662700005	82.0	8	0.37520000000000003	42.14	-0.04619999999999998
R1	2008-11-28	2008-11-21	-62.1776204178	-58.902405662700005	82.0	7	0.27940000000000004	37.52	-0.09580000000000002
R1	2008-12-05	2008-11-28	-62.1776204178	-58.902405662700005	82.0	7	0.17501	27.94	-0.10439
R1	2008-12-09	2008-12-05	-62.1776204178	-58.902405662700005	82.0	4	0.13959	17.501	-0.035420000000000014
R1	2008-12-13	2008-12-09	-62.1776204178	-58.902405662700005	82.0	4	0.141	13.959	0.0014100000000000002
R1	2008-12-19	2008-12-13	-62.1776204178	-58.902405662700005	82.0	6	0.010280000000000001	14.1	-0.13072
R1	2009-01-09	2008-12-19	-62.1776204178	-58.902405662700005	82.0	21	-0.259	1.028	-0.26927999999999996
R1	2009-01-17	2009-01-09	-62.1776204178	-58.902405662700005	82.0	8	-0.61	-25.9	-0.35100000000000003
R1	2009-01-24	2009-01-17	-62.1776204178	-58.902405662700005	82.0	7	-0.691	-61.0	-0.08099999999999995
R1	2009-01-30	2009-01-24	-62.1776204178	-58.902405662700005	82.0	6	-0.667	-69.1	0.023999999999999914
R1	2009-01-31	2009-01-30	-62.1776204178	-58.902405662700005	82.0	1	-0.7090000000000001	-66.7	-0.04200000000000003
R1	2009-02-06	2009-01-31	-62.1776204178	-58.902405662700005	82.0	6	-0.745	-70.9	-0.03599999999999994
R1	2009-02-13	2009-02-06	-62.1776204178	-58.902405662700005	82.0	7	-0.7809999999999999	-74.5	-0.03599999999999994
R1	2009-02-21	2009-02-13	-62.1776204178	-58.902405662700005	82.0	8	-0.88	-78.1	-0.09900000000000006
R1	2009-02-28	2009-02-21	-62.1776204178	-58.902405662700005	82.0	7	-1.042	-88.0	-0.16200000000000003
R1	2009-03-01	2009-02-28	-62.1776204178	-58.902405662700005	82.0	1	-1.042	-104.2	-0.0
R1	2009-03-27	2009-03-01	-62.1776204178	-58.902405662700005	82.0	26	-1.42	-104.2	-0.37799999999999995
R1	2009-11-12	2009-03-27	-62.1776204178	-58.902405662700005	82.0	230	0.7436	-142.0	2.1636
R1	2009-11-18	2009-11-12	-62.1776204178	-58.902405662700005	82.0	6	0.774	74.36	0.030400000000000062
R1	2009-11-23	2009-11-18	-62.1776204178	-58.902405662700005	82.0	5	0.7839	77.4	0.009899999999999949
