Stake	Date	Date1	Latitude	Longitude	Elevation	Days	SMB
R15	2007-05-01	2007-05-01	-62.1788734919	-58.90792111060001	54.0	0	0.0
R15	2008-01-05	2007-05-01	-62.1788734919	-58.90792111060001	54.0	249	0.49203
R15	2008-03-11	2008-01-05	-62.1788734919	-58.90792111060001	54.0	66	-0.46799999999999997
R15	2009-01-24	2008-03-11	-62.1788734919	-58.90792111060001	54.0	319	0.0
R15	2009-03-01	2009-01-24	-62.1788734919	-58.90792111060001	54.0	36	-0.6659999999999999
R15	2009-12-13	2009-03-01	-62.1788734919	-58.90792111060001	54.0	287	1.7799
R15	2010-03-23	2009-12-13	-62.1788734919	-58.90792111060001	54.0	100	0.9847
R15	2010-11-09	2010-03-23	-62.1788734919	-58.90792111060001	54.0	231	1.8359999999999999
R15	2011-03-22	2010-11-09	-62.1788734919	-58.90792111060001	54.0	133	0.24
R15	2011-12-04	2011-03-22	-62.1788734919	-58.90792111060001	54.0	257	1.2361
R15	2012-03-30	2011-12-04	-62.1788734919	-58.90792111060001	54.0	117	-0.9279999999999999
R1	2007-05-01	2007-05-01	-62.1776204178	-58.902405662700005	82.0	0	0.0
R1	2007-12-09	2007-05-01	-62.1776204178	-58.902405662700005	82.0	222	0.7584000000000001
R1	2008-03-17	2007-12-09	-62.1776204178	-58.902405662700005	82.0	99	-0.629
R1	2008-11-03	2008-03-17	-62.1776204178	-58.902405662700005	82.0	231	0.42312
R1	2009-03-27	2008-11-03	-62.1776204178	-58.902405662700005	82.0	144	-1.42
R1	2009-12-13	2009-03-27	-62.1776204178	-58.902405662700005	82.0	261	0.8925
R1	2010-03-15	2009-12-13	-62.1776204178	-58.902405662700005	82.0	92	0.10880000000000001
R1	2010-12-11	2010-03-15	-62.1776204178	-58.902405662700005	82.0	271	0.5161
R1	2011-03-22	2010-12-11	-62.1776204178	-58.902405662700005	82.0	101	-0.7395999999999999
R1	2011-11-17	2011-03-22	-62.1776204178	-58.902405662700005	82.0	240	0.60016
R1	2012-03-30	2011-11-17	-62.1776204178	-58.902405662700005	82.0	134	-1.315
R13	2007-05-01	2007-05-01	-62.170879157600005	-58.8585964292	84.0	0	0.0
R13	2008-02-17	2007-05-01	-62.170879157600005	-58.8585964292	84.0	292	0.0
R13	2008-03-11	2008-02-17	-62.170879157600005	-58.8585964292	84.0	23	-0.43200000000000005
R13	2008-11-03	2008-03-11	-62.170879157600005	-58.8585964292	84.0	237	0.9790800000000001
R13	2009-03-27	2008-11-03	-62.170879157600005	-58.8585964292	84.0	144	-0.7365999999999999
R13	2009-12-13	2009-03-27	-62.170879157600005	-58.8585964292	84.0	261	0.561
R13	2010-03-29	2009-12-13	-62.170879157600005	-58.8585964292	84.0	106	-0.20879999999999999
R13	2010-11-09	2010-03-29	-62.170879157600005	-58.8585964292	84.0	225	0.9565
R13	2011-03-22	2010-11-09	-62.170879157600005	-58.8585964292	84.0	133	-0.2826
R13	2011-12-04	2011-03-22	-62.170879157600005	-58.8585964292	84.0	257	0.7259
R13	2012-03-30	2011-12-04	-62.170879157600005	-58.8585964292	84.0	117	-0.6809999999999999
DN	2007-05-01	2007-05-01	-62.1540855346	-58.9174165862	88.0	0	0.0
DN	2008-01-05	2007-05-01	-62.1540855346	-58.9174165862	88.0	249	0.3507
DN	2008-03-09	2008-01-05	-62.1540855346	-58.9174165862	88.0	64	-0.674
