Stake	Date	Date1	Latitude	Longitude	Elevation	Days	SMB
PG19	2010-05-01	2010-05-01	-62.237672	-58.633624	96.8	0	2.12
PG19	2010-11-22	2010-05-01	-62.237672	-58.633624	96.8	205	2.12
PG19	2011-04-06	2010-11-22	-62.237672	-58.633624	96.8	135	-1.2
PG19	2011-10-15	2011-04-06	-62.237672	-58.633624	96.8	192	0.83
PG19	2012-04-21	2011-10-15	-62.237672	-58.633624	96.8	189	-3.4499999999999993
PG19	2012-11-24	2012-04-21	-62.237672	-58.633624	96.8	217	2.5000000000000004
PG19	2013-04-11	2012-11-24	-62.237672	-58.633624	96.8	138	-2.0
PG19	2013-11-26	2013-04-11	-62.237672	-58.633624	96.8	229	1.3599999999999999
PG19	2014-04-30	2013-11-26	-62.237672	-58.633624	96.8	155	-0.6699999999999999
PG19	2014-11-30	2014-04-30	-62.237672	-58.633624	96.8	214	1.85
PG19	2015-04-13	2014-11-30	-62.237672	-58.633624	96.8	134	-2.62
PG19	2015-11-19	2015-04-13	-62.237672	-58.633624	96.8	220	1.62
PG19	2016-04-23	2015-11-19	-62.237672	-58.633624	96.8	156	-2.0200000000000005
PG09	2010-05-01	2010-05-01	-62.235806	-58.629598	121.0	0	1.96
PG09	2010-11-22	2010-05-01	-62.235806	-58.629598	121.0	205	1.96
PG09	2011-04-06	2010-11-22	-62.235806	-58.629598	121.0	135	-1.8200000000000003
PG09	2011-10-15	2011-04-06	-62.235806	-58.629598	121.0	192	1.11
PG09	2012-04-21	2011-10-15	-62.235806	-58.629598	121.0	189	-3.05
PG09	2012-11-24	2012-04-21	-62.235806	-58.629598	121.0	217	1.69
PG09	2013-04-11	2012-11-24	-62.235806	-58.629598	121.0	138	-2.2
PG09	2013-11-26	2013-04-11	-62.235806	-58.629598	121.0	229	1.1500000000000001
PG09	2014-04-30	2013-11-26	-62.235806	-58.629598	121.0	155	-0.54
PG09	2014-11-30	2014-04-30	-62.235806	-58.629598	121.0	214	1.62
PG09	2015-04-13	2014-11-30	-62.235806	-58.629598	121.0	134	-2.28
PG09	2015-11-19	2015-04-13	-62.235806	-58.629598	121.0	220	1.42
PG09	2016-04-23	2015-11-19	-62.235806	-58.629598	121.0	156	-1.8300000000000003
PG18	2010-05-01	2010-05-01	-62.23711	-58.628262	131.4	0	2.15
PG18	2010-11-22	2010-05-01	-62.23711	-58.628262	131.4	205	2.15
PG18	2011-04-06	2010-11-22	-62.23711	-58.628262	131.4	135	-1.55
PG18	2011-10-15	2011-04-06	-62.23711	-58.628262	131.4	192	0.79
PG18	2012-04-21	2011-10-15	-62.23711	-58.628262	131.4	189	-3.4699999999999998
PG18	2012-11-24	2012-04-21	-62.23711	-58.628262	131.4	217	1.8600000000000003
PG18	2013-04-11	2012-11-24	-62.23711	-58.628262	131.4	138	-2.14
PG18	2013-11-26	2013-04-11	-62.23711	-58.628262	131.4	229	1.1099999999999999
PG18	2014-04-30	2013-11-26	-62.23711	-58.628262	131.4	155	-0.48
PG18	2014-11-30	2014-04-30	-62.23711	-58.628262	131.4	214	1.3099999999999998
PG18	2015-04-13	2014-11-30	-62.23711	-58.628262	131.4	134	-2.02
PG18	2015-11-19	2015-04-13	-62.23711	-58.628262	131.4	220	1.37
PG18	2016-04-23	2015-11-19	-62.23711	-58.628262	131.4	156	-1.6699999999999995
PG08	2010-05-01	2010-05-01	-62.235664	-58.62324	159.1	0	1.49
PG08	2010-11-22	2010-05-01	-62.235664	-58.62324	159.1	205	1.49
PG08	2011-04-06	2010-11-22	-62.235664	-58.62324	159.1	135	-1.46
PG08	2011-10-15	2011-04-06	-62.235664	-58.62324	159.1	192	1.06
PG08	2012-04-21	2011-10-15	-62.235664	-58.62324	159.1	189	-3.4800000000000004
PG08	2012-11-24	2012-04-21	-62.235664	-58.62324	159.1	217	1.2799999999999996
PG08	2013-04-11	2012-11-24	-62.235664	-58.62324	159.1	138	-1.4
PG08	2013-11-26	2013-04-11	-62.235664	-58.62324	159.1	229	0.8600000000000002
PG08	2014-04-30	2013-11-26	-62.235664	-58.62324	159.1	155	-0.3399999999999999
PG08	2014-11-30	2014-04-30	-62.235664	-58.62324	159.1	214	1.3200000000000003
PG08	2015-04-13	2014-11-30	-62.235664	-58.62324	159.1	134	-1.7699999999999998
PG08	2015-11-19	2015-04-13	-62.235664	-58.62324	159.1	220	1.37
PG08	2016-04-23	2015-11-19	-62.235664	-58.62324	159.1	156	-1.5900000000000003
PG17	2010-05-01	2010-05-01	-62.236377	-58.621411	167.2	0	1.17
PG17	2010-11-22	2010-05-01	-62.236377	-58.621411	167.2	205	1.17
PG17	2011-04-06	2010-11-22	-62.236377	-58.621411	167.2	135	-2.43
PG17	2011-10-15	2011-04-06	-62.236377	-58.621411	167.2	192	1.05
PG17	2012-04-21	2011-10-15	-62.236377	-58.621411	167.2	189	-2.8100000000000005
PG17	2012-11-24	2012-04-21	-62.236377	-58.621411	167.2	217	1.3800000000000003
PG17	2013-04-11	2012-11-24	-62.236377	-58.621411	167.2	138	-1.62
PG17	2013-11-26	2013-04-11	-62.236377	-58.621411	167.2	229	0.8199999999999998
PG17	2014-04-30	2013-11-26	-62.236377	-58.621411	167.2	155	-0.34
PG17	2014-11-30	2014-04-30	-62.236377	-58.621411	167.2	214	1.1600000000000001
PG17	2015-04-13	2014-11-30	-62.236377	-58.621411	167.2	134	-1.62
PG17	2015-11-19	2015-04-13	-62.236377	-58.621411	167.2	220	1.17
PG17	2016-04-23	2015-11-19	-62.236377	-58.621411	167.2	156	-1.6699999999999997
PG07	2010-05-01	2010-05-01	-62.235228	-58.616384	188.6	0	0.92
PG07	2010-11-22	2010-05-01	-62.235228	-58.616384	188.6	205	0.92
PG07	2011-04-06	2010-11-22	-62.235228	-58.616384	188.6	135	-1.2599999999999998
PG07	2011-10-15	2011-04-06	-62.235228	-58.616384	188.6	192	0.47
PG07	2012-04-21	2011-10-15	-62.235228	-58.616384	188.6	189	-2.39
PG07	2012-11-24	2012-04-21	-62.235228	-58.616384	188.6	217	1.1299999999999997
PG07	2013-04-11	2012-11-24	-62.235228	-58.616384	188.6	138	-1.6800000000000002
PG07	2013-11-26	2013-04-11	-62.235228	-58.616384	188.6	229	1.0300000000000002
PG07	2014-04-30	2013-11-26	-62.235228	-58.616384	188.6	155	-0.45000000000000007
PG07	2014-11-30	2014-04-30	-62.235228	-58.616384	188.6	214	1.17
PG07	2015-04-13	2014-11-30	-62.235228	-58.616384	188.6	134	-1.34
PG07	2015-11-19	2015-04-13	-62.235228	-58.616384	188.6	220	0.99
PG07	2016-04-23	2015-11-19	-62.235228	-58.616384	188.6	156	-1.38
PG16_AWS	2010-05-01	2010-05-01	-62.235946	-58.613468	194.5	0	1.26
PG16_AWS	2010-11-22	2010-05-01	-62.235946	-58.613468	194.5	205	1.26
PG16_AWS	2011-03-02	2010-11-22	-62.235946	-58.613468	194.5	100	-1.24
PG16_AWS	2011-10-15	2011-03-02	-62.235946	-58.613468	194.5	227	0.66
PG16_AWS	2012-04-21	2011-10-15	-62.235946	-58.613468	194.5	189	-2.6899999999999995
PG16_AWS	2012-11-24	2012-04-21	-62.235946	-58.613468	194.5	217	0.9500000000000001
PG16_AWS	2013-04-11	2012-11-24	-62.235946	-58.613468	194.5	138	-1.1700000000000002
PG16_AWS	2013-11-26	2013-04-11	-62.235946	-58.613468	194.5	229	0.5900000000000001
PG16_AWS	2014-04-30	2013-11-26	-62.235946	-58.613468	194.5	155	-0.040000000000000036
PG16_AWS	2014-11-30	2014-04-30	-62.235946	-58.613468	194.5	214	0.94
PG16_AWS	2015-04-13	2014-11-30	-62.235946	-58.613468	194.5	134	-1.3599999999999999
PG16_AWS	2015-11-19	2015-04-13	-62.235946	-58.613468	194.5	220	1.04
PG16_AWS	2016-04-23	2015-11-19	-62.235946	-58.613468	194.5	156	-1.0699999999999998
PG06	2010-05-01	2010-05-01	-62.229879	-58.606324	223.7	0	2.08
PG06	2010-11-22	2010-05-01	-62.229879	-58.606324	223.7	205	2.08
PG06	2011-04-06	2010-11-22	-62.229879	-58.606324	223.7	135	-1.25
PG06	2011-10-15	2011-04-06	-62.229879	-58.606324	223.7	192	0.91
PG06	2012-04-21	2011-10-15	-62.229879	-58.606324	223.7	189	-2.0100000000000002
PG06	2012-11-24	2012-04-21	-62.229879	-58.606324	223.7	217	1.4199999999999997
PG06	2013-04-11	2012-11-24	-62.229879	-58.606324	223.7	138	-1.26
PG06	2013-11-26	2013-04-11	-62.229879	-58.606324	223.7	229	0.7299999999999999
PG06	2014-04-30	2013-11-26	-62.229879	-58.606324	223.7	155	-0.13000000000000006
PG06	2014-11-30	2014-04-30	-62.229879	-58.606324	223.7	214	1.5600000000000003
PG06	2015-04-13	2014-11-30	-62.229879	-58.606324	223.7	134	-1.47
PG06	2015-11-19	2015-04-13	-62.229879	-58.606324	223.7	220	1.31
PG06	2016-04-23	2015-11-19	-62.229879	-58.606324	223.7	156	-1.3199999999999998
PG16	2010-05-01	2010-05-01	-62.230671	-58.600963	229.4	0	1.84
PG16	2010-11-22	2010-05-01	-62.230671	-58.600963	229.4	205	1.84
PG16	2011-03-10	2010-11-22	-62.230671	-58.600963	229.4	108	-1.6199999999999999
PG16	2012-04-21	2011-03-10	-62.230671	-58.600963	229.4	408	-0.83
PG16	2012-11-24	2012-04-21	-62.230671	-58.600963	229.4	217	1.44
PG16	2013-04-11	2012-11-24	-62.230671	-58.600963	229.4	138	-1.3399999999999999
PG16	2013-11-26	2013-04-11	-62.230671	-58.600963	229.4	229	0.9300000000000003
PG16	2014-04-30	2013-11-26	-62.230671	-58.600963	229.4	155	-0.19999999999999996
PG16	2014-11-30	2014-04-30	-62.230671	-58.600963	229.4	214	1.7099999999999995
PG16	2015-04-13	2014-11-30	-62.230671	-58.600963	229.4	134	-1.38
PG16	2015-11-19	2015-04-13	-62.230671	-58.600963	229.4	220	1.24
PG16	2016-04-23	2015-11-19	-62.230671	-58.600963	229.4	156	-1.34
PG05	2010-05-01	2010-05-01	-62.227069	-58.5988	247.9	0	1.78
PG05	2010-11-22	2010-05-01	-62.227069	-58.5988	247.9	205	1.78
PG05	2011-03-04	2010-11-22	-62.227069	-58.5988	247.9	102	-1.3900000000000001
