Stake	Date	Date1	Latitude	Longitude	Elevation	Days	SMB
PG01	2011-03-02	2011-03-02	-62.201488	-58.583236	435.7	0	3.14
PG01	2011-03-07	2011-03-02	-62.201488	-58.583236	435.7	5	-3.03
PG01	2011-03-09	2011-03-07	-62.201488	-58.583236	435.7	2	0.1
PG01	2013-02-11	2011-03-09	-62.201488	-58.583236	435.7	705	0.05
PG01	2013-02-19	2013-02-11	-62.201488	-58.583236	435.7	8	-0.08
PG01	2013-02-27	2013-02-19	-62.201488	-58.583236	435.7	8	-0.01
PG02	2010-12-05	2010-12-05	-62.208881999999996	-58.583777000000005	385.2	0	0.48
PG02	2011-01-09	2010-12-05	-62.208881999999996	-58.583777000000005	385.2	35	-0.23
PG02	2011-01-17	2011-01-09	-62.208881999999996	-58.583777000000005	385.2	8	0.95
PG02	2011-01-25	2011-01-17	-62.208881999999996	-58.583777000000005	385.2	8	0.53
PG02	2011-03-02	2011-01-25	-62.208881999999996	-58.583777000000005	385.2	36	1.15
PG02	2011-03-07	2011-03-02	-62.208881999999996	-58.583777000000005	385.2	5	-3.0
PG02	2011-03-09	2011-03-07	-62.208881999999996	-58.583777000000005	385.2	2	0.12
PG02	2013-02-11	2011-03-09	-62.208881999999996	-58.583777000000005	385.2	705	0.0
PG02	2013-02-19	2013-02-11	-62.208881999999996	-58.583777000000005	385.2	8	-0.06
PG02	2013-02-27	2013-02-19	-62.208881999999996	-58.583777000000005	385.2	8	0.02
PG02	2013-03-06	2013-02-27	-62.208881999999996	-58.583777000000005	385.2	7	-0.06
PG03	2010-12-05	2010-12-05	-62.217532999999996	-58.587279	346.4	0	0.44
PG03	2011-01-09	2010-12-05	-62.217532999999996	-58.587279	346.4	35	-0.35
PG03	2011-01-25	2011-01-09	-62.217532999999996	-58.587279	346.4	16	0.22
PG03	2011-03-07	2011-01-25	-62.217532999999996	-58.587279	346.4	41	-1.11
PG03	2011-03-09	2011-03-07	-62.217532999999996	-58.587279	346.4	2	-0.03
PG03	2012-01-27	2011-03-09	-62.217532999999996	-58.587279	346.4	324	0.68
PG03	2013-02-11	2012-01-27	-62.217532999999996	-58.587279	346.4	381	-0.05
