Date/Time	Event	Latitude	Longitude	Elevation [m]	Diff	t2m	rh	u2	SWin	LWin	tp	sf	msl	press	tcc	t2m_an	PDD
2011-10-15	PG05	-62.22706899999999	-58.5988	247.9	1.2	-2.0459712	89.72903	11.097322	197.46466	277.68912	0.0	0.28448424	986.9806	958.1907	0.8370068	0.5794177	0.0
2012-01-16	PG05	-62.22706899999999	-58.5988	247.9	0.06	-2.0459712	89.72903	11.097322	197.46466	277.68912	0.3306983709335327	0.28448424	986.9806	958.1907	0.8370068	0.5794177	2.0
2012-07-23	PG05	-62.22706899999999	-58.5988	247.9	-0.01	-4.436262	87.11217	10.405537	71.930756	265.5889	0.6523175239562988	0.53488046	989.8485	960.91345	0.8366529	-0.0020797257	13.0
2012-07-27	PG05	-62.22706899999999	-58.5988	247.9	0.04	-6.44364	84.106926	7.731137	10.427926	260.72766	0.028112241998314857	0.02810835	969.9029	941.506	0.8387826	-0.49042404	0.0
2012-08-15	PG05	-62.22706899999999	-58.5988	247.9	0.1	-7.705368	87.02772	8.4541025	18.701515	254.76392	0.08914094418287277	0.08895005	984.85834	956.005	0.88925856	-0.79737055	0.0
2012-09-12	PG05	-62.22706899999999	-58.5988	247.9	0.1	-5.427655	88.02674	12.858492	45.96915	265.1939	0.1151152178645134	0.10732899	990.3646	961.39624	0.88874125	-0.24326062	0.0
2012-09-27	PG05	-62.22706899999999	-58.5988	247.9	0.0	-6.999319	88.29881	13.094138	91.13142	259.65085	0.054622091352939606	0.054529432	998.16705	968.9344	0.8449367	-0.62560666	0.0
2012-10-09	PG05	-62.22706899999999	-58.5988	247.9	0.28	-3.6346364	90.93688	9.111212	118.841484	273.3563	0.05810515582561493	0.057388797	991.35034	962.39667	0.8398328	0.19293557	0.0
2012-10-18	PG05	-62.22706899999999	-58.5988	247.9	0.02	-3.8665802	80.97089	15.372828	146.65765	258.859	0.0323372557759285	0.03215594	984.1621	955.39655	0.8200837	0.13650952	0.0
2012-10-27	PG05	-62.22706899999999	-58.5988	247.9	0.13	-6.4739075	76.145645	9.095001	169.67804	249.61972	0.04539839178323746	0.045298308	981.83484	953.0755	0.85591733	-0.49778733	0.0
2012-11-03	PG05	-62.22706899999999	-58.5988	247.9	0.04	-4.94503	76.53553	8.192177	170.26317	259.71634	0.03467803820967674	0.034675036	979.95636	951.29315	0.89629334	-0.12585011	0.0
2012-11-10	PG05	-62.22706899999999	-58.5988	247.9	-0.02	-5.755085	73.791985	7.920889	226.1388	244.39603	0.01980622671544552	0.019793684	988.60284	959.6613	0.8490403	-0.32291597	0.0
2012-11-24	PG05	-62.22706899999999	-58.5988	247.9	-0.11	-2.7212138	87.401886	10.245998	172.38004	283.1935	0.06637229770421982	0.055393875	986.8166	958.0135	0.9136582	0.41514823	0.0
2012-12-05	PG05	-62.22706899999999	-58.5988	247.9	0.03	-3.3693287	74.345535	6.9861174	279.50015	244.34106	0.022176232188940048	0.021341452	982.94574	954.2283	0.7030598	0.25747824	0.0
2012-12-14	PG05	-62.22706899999999	-58.5988	247.9	-0.05	-2.9889495	73.13628	5.1617703	330.49976	234.5028	0.012966420501470566	0.01294304	984.9907	956.2195	0.6119555	0.35001487	0.0
2012-12-22	PG05	-62.22706899999999	-58.5988	247.9	0.01	-2.0646362	76.39849	6.672962	323.75864	244.01396	0.013440242037177086	0.013296283	1000.3637	971.1644	0.58233595	0.57487696	0.0
2013-01-05	PG05	-62.22706899999999	-58.5988	247.9	0.07	-1.9007182	86.73482	7.506778	244.69507	272.1993	0.032261922955513	0.03143485	1000.0475	970.8667	0.7717962	0.6147541	0.0
2013-01-15	PG05	-62.22706899999999	-58.5988	247.9	0.0	-1.2953852	89.65922	10.241884	207.30905	285.3067	0.057373322546482086	0.050487984	984.9058	956.18616	0.7925893	0.7620163	0.0
2013-02-01	PG05	-62.22706899999999	-58.5988	247.9	-0.24	-0.9966736	89.72507	8.929677	197.85559	283.12515	0.054780807346105576	0.04208351	987.63367	958.84344	0.8180568	0.83468527	3.0
