Stake	Date	Latitude	Longitude	Elevation	Days	SMB	t2m	rh	u2	SWin	LWin	tp	sf	msl	press	tcc	t2m_an	PDD
R1	2007-12-09	-62.1776204178	-58.902405662700005	82.0	31	0.7584000000000001	-1.7845554	84.29955	9.103031	232.2254	266.2816	0.070926085	0.060473308	987.87836	978.18915	0.797845	0.2578201	2.0
R1	2007-12-18	-62.1776204178	-58.902405662700005	82.0	9	0.7373000000000001	-0.73689574	86.941505	8.778068	287.43176	258.61865	0.006645068	0.005512779	983.45087	973.8169	0.6300748	0.5255399	1.0
R1	2007-12-26	-62.1776204178	-58.902405662700005	82.0	8	0.65472	-0.32072958	89.14663	7.8390713	273.7478	268.1383	0.007830661	0.007125888	994.327	984.593	0.6987773	0.6318873	3.0
R1	2008-01-05	-62.1776204178	-58.902405662700005	82.0	10	0.44	0.40157527	91.1027	9.05503	242.69348	281.06873	0.02284485	0.009094913	983.3256	973.7128	0.8246921	0.8164657	7.0
R1	2008-01-12	-62.1776204178	-58.902405662700005	82.0	7	0.48209	-0.2830124	86.84276	7.796926	244.88293	270.44843	0.0109059885	0.009206373	985.0115	975.3673	0.78498626	0.64152557	1.0
R1	2008-01-19	-62.1776204178	-58.902405662700005	82.0	7	0.38688	0.061897278	85.262474	7.858802	234.66309	270.28247	0.0049685426	0.0042865686	987.92645	978.25964	0.75671023	0.7296641	2.0
R1	2008-01-26	-62.1776204178	-58.902405662700005	82.0	7	0.1834	1.494873	93.911545	13.29531	143.75381	304.47113	0.03405498	0.004887358	992.29193	982.60974	0.870838	1.0958478	8.0
R1	2008-02-02	-62.1776204178	-58.902405662700005	82.0	7	0.09842	1.0834541	93.800514	10.012701	187.09567	293.49606	0.011289647	2.7733156e-05	994.89825	985.1803	0.8230652	0.99071354	8.0
R1	2008-02-09	-62.1776204178	-58.902405662700005	82.0	7	0.10692	0.24376297	88.5654	7.6482162	216.48582	267.61032	0.01278535	0.009557168	991.40106	981.6997	0.68812746	0.7761382	7.0
R1	2008-02-13	-62.1776204178	-58.902405662700005	82.0	4	0.0	1.103009	89.23494	10.037623	184.11308	281.4563	0.010101661	0.00012025237	989.8744	980.2054	0.6924537	0.9957106	5.0
R1	2008-02-16	-62.1776204178	-58.902405662700005	82.0	3	-0.064	1.6953735	91.83849	11.425425	142.75154	290.98016	0.004774089	0.0	988.47534	978.83203	0.75729895	1.147084	4.0
R1	2008-02-24	-62.1776204178	-58.902405662700005	82.0	8	-0.314	1.677609	91.815445	12.291901	128.65996	291.35532	0.036915097	0.0019542915	982.30524	972.72095	0.82465744	1.1425444	9.0
R1	2008-03-02	-62.1776204178	-58.902405662700005	82.0	7	-0.44	0.96704865	90.3171	11.6547985	104.45237	296.3652	0.034232467	0.014357213	999.34204	989.5806	0.8837677	0.9609672	5.0
R1	2008-03-07	-62.1776204178	-58.902405662700005	82.0	5	-0.593	1.6726431	93.44674	10.919126	85.12678	308.51428	0.012784178	0.000244354	997.5265	987.7969	0.9423186	1.1412754	6.0
R1	2008-03-09	-62.1776204178	-58.902405662700005	82.0	2	-0.629	0.9146016	95.94829	7.483977	86.74657	309.69897	0.0036210467	0.00027799176	991.6908	982.0062	0.9618092	0.9475649	3.0
R1	2008-03-17	-62.1776204178	-58.902405662700005	82.0	8	-0.629	0.8397081	89.69447	9.280499	90.53112	285.9647	0.037359696	0.008127336	986.18964	976.55206	0.81708604	0.9284265	9.0
R1	2008-11-13	-62.1776204178	-58.902405662700005	82.0	10	0.4214	-2.2737398	80.60679	7.784967	209.77873	262.43503	0.022333426	0.022290135	979.0113	969.4012	0.8826163	0.1328135	0.0
R1	2008-11-21	-62.1776204178	-58.902405662700005	82.0	8	0.3752	-0.634925	87.17179	9.697246	178.34042	286.75082	0.015555858	0.0070662824	989.73035	980.0407	0.90587115	0.55159754	4.0
R1	2008-11-28	-62.1776204178	-58.902405662700005	82.0	7	0.2794	0.60873795	90.69109	10.873579	205.60748	285.61758	0.015115524	0.0017112349	985.6179	975.98535	0.85848665	0.8694042	7.0
R1	2008-12-05	-62.1776204178	-58.902405662700005	82.0	7	0.17501	0.2886734	86.57462	16.001436	275.20483	264.27008	0.0017625667	0.0009645205	993.7719	984.0512	0.68456525	0.78761464	6.0
R1	2008-12-09	-62.1776204178	-58.902405662700005	82.0	4	0.13959	-0.82038575	81.50588	14.646145	295.3591	252.73903	0.0040389765	0.0037737014	979.09094	969.4977	0.60829586	0.50420475	0.0
R1	2008-12-13	-62.1776204178	-58.902405662700005	82.0	4	0.141	-0.2321045	86.92588	15.629985	267.7721	273.38565	0.012801543	0.008963645	986.59937	976.94147	0.72864324	0.65453464	2.0
R1	2008-12-19	-62.1776204178	-58.902405662700005	82.0	6	0.01028	0.6198556	91.50399	12.380257	238.25676	284.55438	0.0132309	0.0019074351	985.1383	975.51056	0.77947724	0.8722452	6.0
R1	2009-01-09	-62.1776204178	-58.902405662700005	82.0	21	-0.259	0.41877192	86.67155	8.799677	273.90936	267.8737	0.029736228	0.015345125	983.7637	974.1423	0.72406036	0.82086015	13.0
R1	2009-01-17	-62.1776204178	-58.902405662700005	82.0	8	-0.61	1.4779968	91.508644	9.562883	222.48654	286.78357	0.010992781	0.00018800411	987.3252	977.6864	0.8018439	1.0915353	9.0
