Stake	Date	Latitude	Longitude	Elevation	Days	SMB	t2m	rh	u2	SWin	LWin	tp	sf	msl	press	tcc	t2m_an	PDD
PG01	2011-03-07	-62.201488	-58.583236	435.7	5	-3.03	-1.5470886	91.56166	12.955721	103.99137	288.65213	0.027940853	0.0041763154	984.74524	934.99945	0.8842964	1.1119622	0.0
PG01	2011-03-09	-62.201488	-58.583236	435.7	2	0.1	-2.0511982	93.91679	10.064571	71.61935	300.07703	0.010606475	0.001503201	986.69165	936.8385	0.94013673	0.98932517	0.0
PG01	2013-02-11	-62.201488	-58.583236	435.7	705	0.05	-6.571172	87.57374	9.982855	101.99141	264.68054	1.7633665	1.4753623	990.60895	940.4491	0.8470647	-0.11026995	0.0
PG01	2013-02-19	-62.201488	-58.583236	435.7	8	-0.08	-2.9801433	88.86776	9.313358	137.89722	287.33777	0.024997424	0.017199669	981.61755	931.9906	0.89745015	0.7633364	0.0
PG01	2013-02-27	-62.201488	-58.583236	435.7	8	-0.01	-3.2580228	85.84771	9.903598	163.34926	263.86685	0.0072868248	0.003915198	1001.60364	950.96277	0.6733655	0.6957354	0.0
PG02	2011-01-09	-62.208882	-58.583777000000005	385.2	35	-0.23	-3.0881643	87.69436	8.910588	243.63788	274.9862	0.06832323	0.050629854	985.9915	941.7698	0.8152739	0.62648976	0.0
PG02	2011-01-17	-62.208882	-58.583777000000005	385.2	8	0.95	-2.9390564	78.354866	10.471602	282.5091	249.32248	0.0056515243	0.00556283	992.5397	948.0164	0.570407	0.66276395	0.0
PG02	2011-01-25	-62.208882	-58.583777000000005	385.2	8	0.53	-3.0304904	81.17587	9.478242	230.7866	264.54407	0.018159028	0.014019361	992.8065	948.26904	0.8281295	0.6405204	0.0
PG02	2011-03-02	-62.208882	-58.583777000000005	385.2	36	1.15	-1.3398025	92.95595	11.031458	155.94785	287.7649	0.09392758	0.025155548	990.52893	946.14874	0.8140248	1.051822	0.0
PG02	2011-03-07	-62.208882	-58.583777000000005	385.2	5	-3.0	-1.0925903	91.250305	12.955721	103.99137	288.65213	0.027940853	0.0041763154	984.74524	940.62823	0.8842964	1.1119623	0.0
PG02	2011-03-09	-62.208882	-58.583777000000005	385.2	2	0.12	-1.5967001	93.587814	10.064571	71.61935	300.07703	0.010606475	0.001503201	986.69165	942.47833	0.94013673	0.9893253	0.0
PG02	2013-02-11	-62.208882	-58.583777000000005	385.2	705	0.0	-6.116674	87.280365	9.982855	101.99141	264.68054	1.7633665	1.4753623	990.60895	946.1107	0.8470647	-0.110269934	0.0
