Stake	Date	Latitude	Longitude	Elevation	Days	SMB	t2m	rh	u2	SWin	LWin	tp	sf	msl	press	tcc	t2m_an	PDD
PG19	2010-11-22	-62.237672	-58.633624	96.8	205	2.12	-2.845091	85.94095	11.540661	58.47857	269.10608	0.57997924	0.49769706	989.91736	978.39624	0.86392754	0.037832607	3.7704163
PG19	2011-04-06	-62.237672	-58.633624	96.8	135	-1.2	-0.13747698	86.90045	9.719824	175.09833	278.42633	0.3480224	0.19730377	988.7692	977.3101	0.819164	0.7132401	69.80853
PG19	2011-10-15	-62.237672	-58.633624	96.8	192	0.83	-6.329857	84.209	9.3149185	35.074932	254.94855	0.4592595	0.4028508	994.9186	983.2746	0.87379366	-0.83143336	2.1940002
PG19	2012-04-21	-62.237672	-58.633624	96.8	189	-3.4499999999999997	-1.0377446	86.99131	10.708667	162.15878	273.47318	0.47602057	0.31766117	987.7224	976.25867	0.81826895	0.48867062	53.203003
PG19	2012-11-24	-62.237672	-58.633624	96.8	217	2.5000000000000004	-4.113695	85.38271	10.679875	59.147972	264.708	0.6385912	0.59489524	989.1419	977.60547	0.8822874	-0.27861747	1.9464111
PG19	2013-04-11	-62.237672	-58.633624	96.8	138	-2.0	-0.13646956	85.876564	9.087808	181.33174	273.75122	0.2661514	0.14330527	990.76416	979.28094	0.76148397	0.7134914	59.24173
PG19	2013-11-26	-62.237672	-58.633624	96.8	229	1.36	-4.3021827	85.293816	10.073108	60.56347	264.03204	0.64515716	0.57272553	987.96875	976.44543	0.8665455	-0.32563516	8.94458
PG19	2014-04-30	-62.237672	-58.633624	96.8	155	-0.6699999999999999	-0.95066833	84.04423	8.987749	170.8868	269.71585	0.32755566	0.25206885	989.6937	978.20667	0.8135713	0.5103916	23.581085
PG19	2014-11-30	-62.237672	-58.633624	96.8	214	1.85	-3.7599308	85.088524	10.262443	66.133804	266.38724	0.5671699	0.5293554	991.6845	980.1256	0.8842631	-0.19037184	1.2366943
PG19	2015-04-13	-62.237672	-58.633624	96.8	134	-2.62	-0.15759481	87.21439	9.35008	169.56975	276.55484	0.2738061	0.16757995	987.9828	976.5321	0.79923004	0.70822173	54.408325
PG19	2015-11-19	-62.237672	-58.633624	96.8	220	1.62	-5.0496955	83.07572	10.673257	52.13618	259.24747	0.60741425	0.56679094	987.0322	975.5022	0.8861878	-0.5121004	3.1007996
PG19	2016-04-23	-62.237672	-58.633624	96.8	156	-2.0200000000000005	-0.682423	86.649765	10.139192	159.29167	275.512	0.40465784	0.26218027	986.9554	975.5075	0.818534	0.57730466	42.69391
PG09	2010-11-22	-62.235806	-58.629598	121.0	205	1.96	-3.062895	86.07528	11.540661	58.47857	269.10608	0.57997924	0.49769706	989.91736	975.60535	0.86392754	0.03783261	1.5570679
PG09	2011-04-06	-62.235806	-58.629598	121.0	135	-1.8200000000000005	-0.35528094	87.03469	9.719824	175.09833	278.42633	0.3480224	0.19730377	988.7692	974.52234	0.819164	0.71324015	56.98224
PG09	2011-10-15	-62.235806	-58.629598	121.0	192	1.11	-6.5476604	84.342094	9.3149185	35.074932	254.94855	0.4592595	0.4028508	994.9186	980.46985	0.87379366	-0.83143336	0.92041016
PG09	2012-04-21	-62.235806	-58.629598	121.0	189	-3.05	-1.2555486	87.12694	10.708667	162.15878	273.47318	0.47602057	0.31766117	987.7224	973.47394	0.81826895	0.48867068	38.5401
