Event	Date/Time	Latitude	Longitude	Elevation [m]	Diff
PG01	2011-03-02	-62.201488	-58.583236	435.7	3.14
PG02	2010-12-05	-62.208881999999996	-58.583777000000005	385.2	0.48
PG03	2010-12-05	-62.217532999999996	-58.587279	346.4	0.44
PG04	2010-11-22	-62.222118	-58.592014	294.3	1.75
PG05	2010-11-22	-62.22706899999999	-58.5988	247.9	1.78
PG06	2010-11-22	-62.229879000000004	-58.606324	223.7	2.08
PG07	2010-11-22	-62.235228	-58.616384	188.6	0.92
PG08	2010-11-22	-62.235664	-58.62324	159.1	1.49
PG09	2010-11-22	-62.235806000000004	-58.629598	121.0	1.96
PG11	2011-03-02	-62.199141000000004	-58.5812	465.6	3.1
PG12	2010-12-05	-62.205504000000005	-58.581442	409.9	0.6
PG13	2011-01-09	-62.213931	-58.583166000000006	357.8	0.02
PG14	2010-11-22	-62.220634	-58.587965000000004	320.2	1.35
PG15	2010-11-22	-62.225301	-58.59525	263.9	1.73
PG16_AWS	2010-11-22	-62.235946	-58.613468000000005	194.5	1.26
PG16	2010-11-22	-62.230670999999994	-58.600963	229.4	1.84
PG17	2010-11-22	-62.236377000000005	-58.621411	167.2	1.17
PG18	2010-11-22	-62.237109999999994	-58.628262	131.4	2.15
PG19	2010-11-22	-62.237671999999996	-58.633624	96.8	2.12
